passport_label|connected_gen_vectors
3.8-3.1.2.15|['b^-1', 'ba', 'b^-2']
3.8-3.1.2.16|['b', 'ba', 'b^-2']
3.8-3.1.2.17|['a', 'b^-1', 'b^-2']
3.8-3.1.2.18|['b^-1a', 'b^-1', 'b^-2']
3.8-3.1.2.19|['b^-2a', 'b^-1', 'b^-2']
3.8-3.1.2.20|['ba', 'b^-1', 'b^-2']
3.8-3.1.2.21|['a', 'b', 'b^-2']
3.8-3.1.2.22|['b^-1a', 'b', 'b^-2']
3.8-3.1.2.23|['b^-2a', 'b', 'b^-2']
3.8-3.1.2.24|['ba', 'b', 'b^-2']
3.8-4.1.2.1|['a', 'b', 'a^-2']
3.8-4.1.2.2|['a^-1', 'b', 'a^-2']
3.8-4.1.2.3|['a^-2ba', 'b', 'a^-2']
3.8-4.1.2.4|['ba', 'b', 'a^-2']
3.8-4.1.2.5|['b', 'a', 'a^-2']
3.8-4.1.2.6|['a^-2b', 'a', 'a^-2']
3.8-4.1.2.7|['a^-2ba', 'a', 'a^-2']
3.8-4.1.2.8|['ba', 'a', 'a^-2']
3.8-4.1.2.9|['a', 'a^-2b', 'a^-2']
3.8-4.1.2.10|['a^-1', 'a^-2b', 'a^-2']
3.8-4.1.2.11|['a^-2ba', 'a^-2b', 'a^-2']
3.8-4.1.2.12|['ba', 'a^-2b', 'a^-2']
3.8-4.1.2.13|['b', 'a^-1', 'a^-2']
3.8-4.1.2.14|['a^-2b', 'a^-1', 'a^-2']
3.8-4.1.2.15|['a^-2ba', 'a^-1', 'a^-2']
3.8-4.1.2.16|['ba', 'a^-1', 'a^-2']
3.8-4.1.2.17|['b', 'a^-2ba', 'a^-2']
3.8-4.1.2.18|['a', 'a^-2ba', 'a^-2']
3.8-4.1.2.19|['a^-2b', 'a^-2ba', 'a^-2']
3.8-4.1.2.20|['a^-1', 'a^-2ba', 'a^-2']
3.8-4.1.2.21|['b', 'ba', 'a^-2']
3.8-4.1.2.22|['a', 'ba', 'a^-2']
3.8-4.1.2.23|['a^-2b', 'ba', 'a^-2']
3.8-4.1.2.24|['a^-1', 'ba', 'a^-2']
3.2-1.2.1|['a', 'Id(G)', 'Id(G)', 'Id(G)']
